,Food group,Group, Baseline,Value,CF,DALY
249,Water,,1221.01509371654,1121.9,0.25,0.25
250,Bread_rye,1.0,64.3214138169407,98.7,0.5,0.25
251,Bread_wheat_coarse,1.0,34.3722328092571,61.4,0.5,0.25
252,Bread_wheat_fine,1.0,51.3582512086115,105.0,0.5,0.25
253,Breakfastcereals,1.0,6.40876221981927,6.4,0.5,0.25
254,Discretionary_foods,1.0,57.8180503622414,64.1,0.5,0.25
255,Flour_kernels,1.0,24.802455439947,46.6,0.5,0.25
256,Oats,1.0,14.5261640762295,30.1,0.5,0.25
257,Pasta,1.0,8.11542000546066,10.2,0.5,0.25
258,Rice,1.0,6.54718536425384,6.1,0.5,0.25
259,Cheese_fresh,2.0,6.52183371875592,3.7,0.5,0.25
260,Cheese_other,2.0,38.6973569484548,0.0,0.5,0.25
261,Dairy_fermented,2.0,30.6551698946953,32.6,0.5,0.25
262,Dairy_other,2.0,16.67,1.0,0.5,0.25
263,Milk_highfat,2.0,110.01,140.9,0.5,0.25
264,Milk_lowfat,2.0,162.81288340884,241.1,0.5,0.25
265,Fish_fatty,3.0,16.7881573230695,30.9,0.5,0.25
266,Fish_lean_highclimate,3.0,9.05882738179107,0.0,0.5,0.25
267,Fish_lean_lowmediumclimate,3.0,9.99451177443916,24.5,0.5,0.25
268,Fruit_berry,4.0,15.2527109490058,14.5,0.5,0.25
269,Fruit_citrus,4.0,19.3344139165275,21.0,0.5,0.25
270,Fruit_dried,4.0,3.20122273516868,3.3,0.5,0.25
271,Fruit_juice,4.0,59.2189094830217,23.7,0.5,0.25
272,Fruit_pome,4.0,66.9856413042249,104.1,0.5,0.25
273,Fruit_stone,4.0,15.219228949945,16.9,0.5,0.25
274,Fruit_tropical,4.0,63.6021325491428,13.9,0.5,0.25
275,Potatoes,,85.4825248197403,8.3,0.5,0.25
276,Veg_darkgreen,5.0,7.30254950863854,9.4,0.5,0.25
